name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,3346,80,636,44,-0.2619312523608395,35.483870967741936,6.470588235294119,0.08982869020187989
Nested,3426,0,680,0,-0.1984821949795681,0.0,0.0,0.0
HigherOrder,3241,185,595,85,-0.37472957659421047,31.48148148148148,12.5,0.10648598307735725
FunctionalCalls,2889,537,409,271,-0.6673002300745168,33.53960396039604,39.852941176470594,0.22607358207119943
SideEffects,3015,411,480,200,-0.5703641701864635,32.733224222585925,29.411764705882355,0.18190058089878322
ImperativeCalls,3209,217,547,133,-0.34652999553586783,38.0,19.558823529411764,0.17605320248653805
FunctionalScoreLandkroon,2798,628,389,291,-0.792435871020913,31.664853101196954,42.79411764705882,0.21818332044566088
ImperativeScoreLandkroon,2998,428,474,206,-0.5897513821640743,32.49211356466877,30.294117647058822,0.18313365710437587
HasPointsLandkroon,2513,913,311,369,-1.1572679509632229,28.78315132605304,54.264705882352935,0.2215264107917941
ParadigmScoreLandkroon,2785,641,391,289,-0.8188729782631092,31.0752688172043,42.5,0.21128239327326917
