name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,21,198,8,62,-2.883496412263535,23.846153846153847,88.57142857142857,-0.026229641690353044
Nested,219,0,70,0,-0.3196347031963469,0.0,0.0,0.0
HigherOrder,206,13,59,11,-0.3573385518590997,45.83333333333333,15.714285714285714,0.15181056534757983
FunctionalCalls,170,49,36,34,-0.6024135681669927,40.963855421686745,48.57142857142857,0.2480561337025989
SideEffects,212,7,58,12,-0.22537508153946484,63.1578947368421,17.142857142857142,0.24108930271823964
ImperativeCalls,183,36,57,13,-0.7532289628180036,26.53061224489796,18.571428571428573,0.024354152118855048
FunctionalScoreLandkroon,169,50,35,35,-0.6024135681669927,41.17647058823529,50.0,0.2554579258950239
ImperativeScoreLandkroon,203,16,56,14,-0.3573385518590997,46.666666666666664,20.0,0.17830406693480375
HasPointsLandkroon,149,70,25,45,-0.7909328114807563,39.130434782608695,64.28571428571429,0.2829104809932539
ParadigmScoreLandkroon,160,59,29,41,-0.6589693411611217,41.0,58.57142857142858,0.284872288591126
