name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,1460,3,165,5,-0.10306783000281428,62.5,2.941176470588235,0.11967676181232242
Nested,1463,0,170,0,-0.11619958988379997,0.0,0.0,0.0
HigherOrder,1375,88,145,25,-0.5298500261348553,22.123893805309734,14.705882352941178,0.10457975026455082
FunctionalCalls,1206,257,102,68,-1.357150898636966,20.923076923076923,40.0,0.17159132265208574
SideEffects,1461,2,165,5,-0.0965019500623212,71.42857142857143,2.941176470588235,0.1310956549310119
ImperativeCalls,1312,151,151,19,-0.9828957420288684,11.176470588235295,11.176470588235295,0.008552128985565519
FunctionalScoreLandkroon,1158,305,96,74,-1.6329178561376696,19.525065963060687,43.529411764705884,0.16408032223002275
ImperativeScoreLandkroon,1456,7,165,5,-0.12933134976478589,41.66666666666667,2.941176470588235,0.0880597278307743
HasPointsLandkroon,1133,330,87,83,-1.7379719351855565,20.09685230024213,48.8235294117647,0.18454591889553654
ParadigmScoreLandkroon,1135,328,86,84,-1.7182742953640777,20.388349514563107,49.411764705882355,0.18979139683981544
