name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,547,14,64,8,-0.22237076648841358,36.36363636363637,11.11111111111111,0.14934807168801947
Nested,561,0,72,0,-0.12834224598930488,0.0,0.0,0.0
HigherOrder,459,102,34,38,-1.1313131313131315,27.142857142857142,52.77777777777778,0.26465833903987757
FunctionalCalls,480,81,34,38,-0.8022133095662509,31.932773109243694,52.77777777777778,0.3115562987902345
SideEffects,490,71,59,13,-1.0372846108140226,15.476190476190476,18.055555555555554,0.05053382493398702
ImperativeCalls,498,63,46,26,-0.7081847890671422,29.213483146067414,36.11111111111111,0.22726048529517623
FunctionalScoreLandkroon,454,107,29,43,-1.1313131313131315,28.666666666666668,59.72222222222222,0.30351476932212507
ImperativeScoreLandkroon,483,78,45,27,-0.9275846702317292,25.71428571428571,37.5,0.20140914224370698
HasPointsLandkroon,239,322,18,54,-4.328282828282829,14.361702127659576,75.0,0.11380502479917545
ParadigmScoreLandkroon,300,261,22,50,-3.4350118835412955,16.077170418006432,69.44444444444444,0.1455664756278281
