name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,3102,8,289,18,-0.06292510238067783,69.23076923076923,5.863192182410423,0.18447971155328732
Nested,3110,0,307,0,-0.09871382636655923,0.0,0.0,0.0
HigherOrder,2940,170,263,44,-0.5496517485886652,20.5607476635514,14.332247557003258,0.10463867318773454
FunctionalCalls,2314,796,162,145,-2.428559757847439,15.409139213602552,47.23127035830619,0.13850471383270468
SideEffects,3085,25,294,13,-0.1416602951496171,34.21052631578947,4.234527687296417,0.09354968453378881
ImperativeCalls,3086,24,292,15,-0.1309236779538525,38.46153846153847,4.88599348534202,0.11075977961214081
FunctionalScoreLandkroon,2204,906,144,163,-2.757816018517548,15.247895229186156,53.09446254071661,0.14779031020397054
ImperativeScoreLandkroon,3080,30,290,17,-0.1452391675482052,36.17021276595745,5.537459283387622,0.11227174420736376
HasPointsLandkroon,2200,910,144,163,-2.7721315081119005,15.191053122087606,53.09446254071661,0.14684794663401596
ParadigmScoreLandkroon,2226,884,146,161,-2.686238570545785,15.406698564593302,52.44299674267101,0.1490667733376839
