name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,39,360,19,159,-2.07908816986286,30.63583815028902,89.32584269662921,-0.013819958326861965
Nested,399,0,178,0,-0.4461152882205517,0.0,0.0,0.0
HigherOrder,375,24,145,33,-0.37299709949029913,57.89473684210527,18.53932584269663,0.19386990780222968
FunctionalCalls,289,110,89,89,-0.6167243952578079,44.72361809045226,50.0,0.21795867068282276
SideEffects,384,15,150,28,-0.3405001267212979,65.11627906976744,15.730337078651685,0.2105328140050092
ImperativeCalls,380,19,135,43,-0.25113345160654466,69.35483870967742,24.15730337078652,0.28926487375742427
FunctionalScoreLandkroon,278,121,86,92,-0.6817183407958101,43.1924882629108,51.68539325842697,0.2044318874012753
ImperativeScoreLandkroon,373,26,138,40,-0.33237588352904757,60.60606060606061,22.47191011235955,0.2315408903769555
HasPointsLandkroon,246,153,62,116,-0.7467122863338125,43.12267657992565,65.1685393258427,0.24834020355683364
ParadigmScoreLandkroon,264,135,67,111,-0.6410971248345587,45.1219512195122,62.35955056179775,0.26640354828865814
