name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,928,5,296,4,-0.3259485530546624,44.44444444444444,1.3333333333333335,0.04019580932431935
Nested,933,0,300,0,-0.32154340836012874,0.0,0.0,0.0
HigherOrder,846,87,227,73,-0.38321543408360137,45.625,24.333333333333336,0.19163774063656502
FunctionalCalls,678,255,128,172,-0.6871704180064309,40.28103044496487,57.333333333333336,0.2705654115052246
SideEffects,895,38,241,59,-0.22903536977491967,60.824742268041234,19.666666666666664,0.24852948308931833
ImperativeCalls,896,37,259,41,-0.30392282958199357,52.56410256410257,13.666666666666666,0.17099289961185932
FunctionalScoreLandkroon,629,304,115,185,-0.8457556270096462,37.83231083844581,61.66666666666667,0.2550989870239498
ImperativeScoreLandkroon,866,67,223,77,-0.27749196141479104,53.47222222222222,25.666666666666664,0.24696657730942398
HasPointsLandkroon,604,329,108,192,-0.925048231511254,36.85220729366603,64.0,0.24962619547138398
ParadigmScoreLandkroon,640,293,119,181,-0.81491961414791,38.18565400843882,60.333333333333336,0.2551694760693577
