name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,52,584,11,178,-3.083682739343117,23.35958005249344,94.17989417989418,0.03728086914633577
Nested,636,0,189,0,-0.2971698113207548,0.0,0.0,0.0
HigherOrder,557,79,118,71,-0.3520764700009984,47.333333333333336,37.56613756613756,0.2739739894262815
FunctionalCalls,534,102,129,60,-0.5854297693920336,37.03703703703704,31.746031746031743,0.16617828089818898
SideEffects,7,629,4,185,-3.3444893680742744,22.727272727272727,97.88359788359789,-0.03721753958914777
ImperativeCalls,10,626,0,189,-3.2964460417290606,23.190184049079754,100.0,0.06038423100138721
FunctionalScoreLandkroon,488,148,111,78,-0.7776030747728861,34.51327433628318,41.269841269841265,0.16960938604614748
ImperativeScoreLandkroon,14,622,4,185,-3.2964460417290606,22.92441140024783,97.88359788359789,0.0024409995083158787
HasPointsLandkroon,356,280,65,124,-1.3678496555855046,30.693069306930692,65.60846560846561,0.18144530926759186
ParadigmScoreLandkroon,360,276,65,124,-1.3403963262453829,31.0,65.60846560846561,0.1867786967420209
