name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,547,14,64,8,-0.22237076648841358,36.36363636363637,11.11111111111111,0.14934807168801947
Nested,561,0,72,0,-0.12834224598930488,0.0,0.0,0.0
HigherOrder,532,29,46,26,-0.17535650623885934,47.27272727272727,36.11111111111111,0.34877679099742415
FunctionalCalls,514,47,39,33,-0.3477421271538921,41.25,45.83333333333333,0.3578944674769312
SideEffects,495,66,61,11,-0.9902703505644683,14.285714285714285,15.277777777777779,0.034123373379036974
ImperativeCalls,515,46,48,24,-0.47311348781937035,34.285714285714285,33.33333333333333,0.2544489791429529
FunctionalScoreLandkroon,516,45,37,35,-0.28505644682115294,43.75,48.61111111111111,0.38784320142007317
ImperativeScoreLandkroon,494,67,51,21,-0.8492275698158054,23.863636363636363,29.166666666666668,0.15806464391667477
HasPointsLandkroon,506,55,42,30,-0.5201277480689246,35.294117647058826,41.66666666666667,0.29670927744579456
ParadigmScoreLandkroon,523,38,44,28,-0.28505644682115294,42.42424242424242,38.88888888888889,0.3336535607028608
