name,tn,fp,fn,tp,r2,precision,recall,mcc
Recursive,7188,174,1244,114,-0.236793325115358,39.58333333333333,8.394698085419734,0.12237443286249393
Nested,7362,0,1358,0,-0.18446074436294513,0.0,0.0,0.0
HigherOrder,6940,422,1084,274,-0.31354777688556346,39.36781609195402,20.176730486008836,0.19326490850842573
FunctionalCalls,6423,939,726,632,-0.4522291158794576,40.22915340547422,46.53902798232695,0.31875170181881013
SideEffects,6271,1091,877,481,-0.7165086486791428,30.59796437659033,35.41973490427099,0.19431429011973392
ImperativeCalls,6870,492,1003,355,-0.3039534704142879,41.91263282172373,26.141384388807072,0.23825580168881896
FunctionalScoreLandkroon,6229,1133,661,697,-0.5647441644971454,38.087431693989075,51.32547864506627,0.3199911790532961
ImperativeScoreLandkroon,6273,1089,878,480,-0.7156364389999359,30.592734225621417,35.34609720176731,0.19402049895675302
HasPointsLandkroon,6490,872,837,521,-0.4906063417645605,37.40129217516152,38.36524300441827,0.2624780948665883
ParadigmScoreLandkroon,5948,1414,667,691,-0.8150683424295204,32.826603325415675,50.88365243004418,0.26841062183500347
