name,count,mean,std,min,25%,50%,75%,max
IsRecursive,2297,0.037875489769264255,0.19093666104827067,0.0,0.0,0.0,0.0,1.0
IsNested,2297,0.028733130169786677,0.16709186769922987,0.0,0.0,0.0,0.0,1.0
HasNestedMethods,2297,0.0391815411406182,0.19406891679886418,0.0,0.0,0.0,0.0,1.0
HasFunctions,2297,0.44188071397474965,0.4967187961208022,0.0,0.0,0.0,1.0,1.0
IsFunction,2297,0.12015672616456247,0.3252155165742192,0.0,0.0,0.0,0.0,1.0
HasFunctionParameters,2297,0.1545494122768829,0.36155331667976304,0.0,0.0,0.0,0.0,1.0
HasHigherOrderCalls,2297,0.3021332172398781,0.45928266824848885,0.0,0.0,0.0,1.0,1.0
HasFunctionCalls,2297,0.1001306051371354,0.30023942305744156,0.0,0.0,0.0,0.0,1.0
HasCurrying,2297,0.07270352633870265,0.2597057695097542,0.0,0.0,0.0,0.0,1.0
HasPatternMatching,2297,0.26208097518502393,0.43986221558743555,0.0,0.0,0.0,1.0,1.0
HasLazyValues,2297,0.0021767522855899,0.04661501940599485,0.0,0.0,0.0,0.0,1.0
HasMultipleParameterLists,2297,0.09490639965171964,0.2931494286017191,0.0,0.0,0.0,0.0,1.0
FunctionalScoreBool,2297,1.6565084893339137,1.814333321047312,0.0,0.0,1.0,3.0,9.0
HasVariables,2297,0.006965607313887679,0.08318714021688808,0.0,0.0,0.0,0.0,1.0
HasVariableDefinitions,2297,0.0030474531998258597,0.055131565114295004,0.0,0.0,0.0,0.0,1.0
HasInnerVariableAssignment,2297,0.00522420548541576,0.07210531621442932,0.0,0.0,0.0,0.0,1.0
HasOuterVariableUsage,2297,0.00391815411406182,0.062486014508326394,0.0,0.0,0.0,0.0,1.0
HasOuterVariableAssignment,2297,0.00130605137135394,0.036123589189660445,0.0,0.0,0.0,0.0,1.0
HasSideEffects,2297,0.06007836308228123,0.23768371392150833,0.0,0.0,0.0,0.0,1.0
IsSideEffect,2297,0.0195907705703091,0.13861939865983894,0.0,0.0,0.0,0.0,1.0
HasSideEffectCalls,2297,0.04266434479756204,0.20214323565742998,0.0,0.0,0.0,0.0,1.0
HasSideEffectFunctions,2297,0.006965607313887679,0.08318714021688808,0.0,0.0,0.0,0.0,1.0
ImperativeScoreBool,2297,0.1497605572485851,0.6653711757562206,0.0,0.0,0.0,0.0,7.0
ParadigmScoreBool,2297,0.5234210065076413,0.5377537760153682,-1.0,0.0,1.0,1.0,1.0
CountRecursiveCalls,2297,0.11406181976491075,0.8610108219700113,0.0,0.0,0.0,0.0,18.0
CountNestedDepth,2297,0.03090988245537658,0.18526442909295282,0.0,0.0,0.0,0.0,2.0
CountNestedMethods,2297,0.062255115367871136,0.41324832792450805,0.0,0.0,0.0,0.0,11.0
CountFunctions,2297,1.304309969525468,2.279308468705953,0.0,0.0,0.0,2.0,25.0
CountFunctionParameters,2297,0.18676534610361342,0.46613433003994675,0.0,0.0,0.0,0.0,3.0
CountHigherOrderCalls,2297,0.5411406181976491,1.2807816598062134,0.0,0.0,0.0,1.0,22.0
CountFunctionCalls,2297,0.14627775359164127,0.5501229965390321,0.0,0.0,0.0,0.0,10.0
CountCurrying,2297,0.09534175010883761,0.43980919045610395,0.0,0.0,0.0,0.0,12.0
CountPatternMatching,2297,0.41663038746190684,1.26571733926907,0.0,0.0,0.0,1.0,29.0
CountLazyValues,2297,0.00261210274270788,0.05897028493256386,0.0,0.0,0.0,0.0,2.0
CountParameterLists,2297,0.10056595559425337,0.31908600979258195,0.0,0.0,0.0,0.0,2.0
FunctionalScoreCount,2297,3.1210274270787983,5.007414118732082,0.0,0.0,1.0,4.0,54.0
CountVariables,2297,0.034392686112320416,0.5639747326259931,0.0,0.0,0.0,0.0,17.0
CountVariableDefinitions,2297,0.0034828036569438396,0.0659034558462947,0.0,0.0,0.0,0.0,2.0
CountInnerVariableAssignment,2297,0.012189812799303439,0.26534663185265533,0.0,0.0,0.0,0.0,11.0
CountOuterVariableUsage,2297,0.0108837614279495,0.18981917165740303,0.0,0.0,0.0,0.0,5.0
CountOuterVariableAssignment,2297,0.0017414018284719198,0.05109018121932597,0.0,0.0,0.0,0.0,2.0
CountSideEffects,2297,0.14323030039181542,0.83995323807203,0.0,0.0,0.0,0.0,18.0
CountSideEffectCalls,2297,0.06660861993905094,0.46234936389973175,0.0,0.0,0.0,0.0,14.0
CountSideEffectFunctions,2297,0.00914235959947758,0.1195374550380483,0.0,0.0,0.0,0.0,3.0
ImperativeScoreCount,2297,0.30126251632564216,2.179601977808086,0.0,0.0,0.0,0.0,59.0
ParadigmScoreCount,2297,0.5255780993805594,0.5420960704954114,-1.0,0.0,1.0,1.0,1.0
FractionRecursiveCalls,2297,0.007506806017582142,0.04427075278942619,0.0,0.0,0.0,0.0,0.6875
FractionNestedMethods,2297,0.017291570105971866,0.09799096222659442,0.0,0.0,0.0,0.0,0.9558823529411764
FractionFunctions,2297,0.3296249171715794,0.42601477329278675,0.0,0.0,0.0,0.8333333333333334,1.0
FractionHigherOrderCalls,2297,0.18783204605643058,0.3314457778550711,0.0,0.0,0.0,0.25,1.0
FractionFunctionCalls,2297,0.031599504872642396,0.12239366146226141,0.0,0.0,0.0,0.0,1.0
FractionCurrying,2297,0.054408159496654195,0.20885139535139788,0.0,0.0,0.0,0.0,1.0
FractionPatternMatching,2297,0.19826819457386835,0.3536978436637632,0.0,0.0,0.0,0.19047619047619047,1.0
FractionLazyValues,2297,0.00019957363914598324,0.005254635896898574,0.0,0.0,0.0,0.0,0.19230769230769232
FunctionalScoreFraction,2297,1.2250764401968266,1.3688219547052152,0.0,0.0,0.9333333333333332,2.0,7.461538461538463
FractionVariables,2297,0.0023053387816736985,0.03167445212398032,0.0,0.0,0.0,0.0,0.7777777777777778
FractionVariableDefinitions,2297,0.0005678484223277999,0.015288525593550768,0.0,0.0,0.0,0.0,0.6666666666666666
FractionInnerVariableAssignment,2297,0.0009180009602346867,0.0156676734626575,0.0,0.0,0.0,0.0,0.4782608695652174
FractionOuterVariableUsage,2297,0.0011783305436652903,0.020120790307298575,0.0,0.0,0.0,0.0,0.5
FractionOuterVariableAssignment,2297,0.00015367961270934904,0.004667612620385481,0.0,0.0,0.0,0.0,0.16666666666666666
FractionSideEffects,2297,0.030655390552976468,0.15338994263832736,0.0,0.0,0.0,0.0,1.0
FractionSideEffectCalls,2297,0.012653306168520772,0.07769358573147267,0.0,0.0,0.0,0.0,1.0
FractionSideEffectFunctions,2297,0.0030011014456699757,0.042230183692570665,0.0,0.0,0.0,0.0,0.8333333333333334
ImperativeScoreFraction,2297,0.07102376705808713,0.37811417722171314,0.0,0.0,0.0,0.0,4.5
ParadigmScoreFraction,2297,0.5345296376454713,0.5374991675618637,-1.0,0.0,1.0,1.0,1.0
FunctionalCallsLandkroon,2297,0.6438833260774924,1.706808532370344,0.0,0.0,0.0,1.0,29.0
ImperativeCallsLandkroon,2297,0.00783630822812364,0.1101530184745194,0.0,0.0,0.0,0.0,3.0
FunctionalPointsLandkroon,2297,0.8981279930343927,1.8495410898902813,0.0,0.0,0.0,1.0,29.0
ImperativePointsLandkroon,2297,0.04222899434044406,0.6243127885857495,0.0,0.0,0.0,0.0,19.0
ParadigmScoreLandkroon,2297,0.40937241484591913,0.4907495161270162,0.0,0.0,0.0,1.0,1.0
