name,tn,fp,fn,tp,r2,precision,recall,mcc
Akka functions,12875,4562,464,764,-3.3810715317815143,14.344723995493805,62.21498371335505,0.1979269530399885
Akka objects,2772,654,238,442,-0.57212664400261,40.32846715328467,65.0,0.3858098973532339
Gitbucket functions,699,307,42,55,-2.944856633395504,15.193370165745856,56.70103092783505,0.15792818899026045
Gitbucket objects,174,45,29,41,-0.39504240052185247,47.674418604651166,58.57142857142858,0.3563081311564037
Http4s functions,2372,724,78,161,-2.6146924632134327,18.192090395480225,67.36401673640168,0.25691539955252185
Http4s objects,628,170,68,77,-0.9396249243799153,31.17408906882591,53.103448275862064,0.2608927838719431
Quill functions,1773,439,38,47,-4.82740665886608,9.670781893004115,55.294117647058826,0.16383785508893878
Quill objects,526,90,31,24,-1.3964285714285714,21.052631578947366,43.63636363636363,0.2120208053733202
Scio functions,2215,623,130,122,-2.2534229336554925,16.375838926174495,48.41269841269841,0.16929998262007878
Scio objects,650,135,71,91,-0.5340253204372096,40.26548672566372,56.17283950617284,0.3443189481486843
Shapeless functions,2675,431,116,101,-1.6968480805694934,18.984962406015036,46.54377880184332,0.22009469152971606
Shapeless objects,1296,167,93,77,-0.7071287845281649,31.557377049180328,45.294117647058826,0.2902244181543655
ZIO functions,3287,1054,222,363,-1.4751380693329552,25.617501764290758,62.05128205128205,0.2699333630449517
ZIO objects,492,69,43,29,-0.7551990493166965,29.591836734693878,40.27777777777778,0.24557223747573612
