name,tn,fp,fn,tp,r2,precision,recall,mcc
IsRecursiveAvr,47,569,4,51,-10.348376623376623,8.225806451612904,92.72727272727272,0.003696857723173939
IsNestedAvr,616,0,55,0,-0.08928571428571441,0.0,0.0,0.0
HasNestedMethodsAvr,568,48,46,9,-0.8616883116883118,15.789473684210526,16.363636363636363,0.08433411616059115
HasFunctionsAvr,413,203,16,39,-3.3373376623376627,16.115702479338843,70.9090909090909,0.21681991329241648
IsFunctionAvr,572,44,40,15,-0.6636363636363638,25.423728813559322,27.27272727272727,0.19498937935369304
HasFunctionParametersAvr,547,69,31,24,-0.9805194805194806,25.806451612903224,43.63636363636363,0.257502280180181
HasHigherOrderCallsAvr,458,158,28,27,-2.683766233766234,14.594594594594595,49.09090909090909,0.14389780955757625
HasFunctionCallsAvr,535,81,31,24,-1.2181818181818183,22.857142857142858,43.63636363636363,0.23018854694580387
HasCurryingAvr,589,27,41,14,-0.3467532467532468,34.146341463414636,25.454545454545453,0.24132564634691747
HasPatternMatchingAvr,451,165,31,24,-2.881818181818182,12.698412698412698,43.63636363636363,0.10276232484455375
HasLazyValuesAvr,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
HasMultipleParameterListsAvr,546,70,35,20,-1.0795454545454546,22.22222222222222,36.36363636363637,0.20123447664776564
FunctionalScoreBoolAvr,426,190,19,36,-3.1392857142857142,15.929203539823009,65.45454545454545,0.20088336005841106
HasVariablesAvr,65,551,7,48,-10.051298701298702,8.013355592654424,87.27272727272727,-0.019280403901728155
HasVariableDefinitionsAvr,611,5,53,2,-0.14870129870129878,28.57142857142857,3.6363636363636362,0.0762618220528964
HasInnerVariableAssignmentAvr,551,65,49,6,-1.2577922077922081,8.450704225352112,10.909090909090908,0.0031849958437147473
HasOuterVariableUsageAvr,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
HasOuterVariableAssignmentAvr,2,614,0,55,-11.160389610389611,8.221225710014949,100.0,0.01633777563387449
HasSideEffectsAvr,571,45,44,11,-0.7626623376623378,19.642857142857142,20.0,0.12591172398391642
IsSideEffectAvr,27,589,5,50,-10.764285714285714,7.82472613458529,90.9090909090909,-0.060598736391318075
HasSideEffectCallsAvr,529,87,47,8,-1.6538961038961042,8.421052631578947,14.545454545454545,0.0033211714222102316
HasSideEffectFunctionsAvr,605,11,53,2,-0.2675324675324675,15.384615384615385,3.6363636363636362,0.0368308054949648
ImperativeScoreBoolAvr,522,94,44,11,-1.733116883116883,10.476190476190476,20.0,0.035790764487845975
ParadigmScoreBoolAvr,368,248,18,37,-4.2681818181818185,12.982456140350877,67.27272727272727,0.14990917989376729
CountRecursiveCallsAvr,45,571,3,52,-10.368181818181819,8.346709470304976,94.54545454545455,0.01969841115349217
CountNestedDepthAvr,616,0,55,0,-0.08928571428571441,0.0,0.0,0.0
CountNestedMethodsAvr,572,44,47,8,-0.8022727272727275,15.384615384615385,14.545454545454545,0.07594668726062885
CountFunctionsAvr,491,125,28,27,-2.0301948051948053,17.763157894736842,49.09090909090909,0.18872921402629655
CountFunctionParametersAvr,546,70,31,24,-1.0003246753246753,25.53191489361702,43.63636363636363,0.2550677406952426
CountHigherOrderCallsAvr,468,148,28,27,-2.4857142857142858,15.428571428571427,49.09090909090909,0.15659519144240502
CountFunctionCallsAvr,539,77,32,23,-1.1587662337662339,23.0,41.81818181818181,0.22583470389892213
CountCurryingAvr,589,27,41,14,-0.3467532467532468,34.146341463414636,25.454545454545453,0.24132564634691747
CountPatternMatchingAvr,459,157,32,23,-2.743181818181818,12.777777777777777,41.81818181818181,0.1011141582394684
CountLazyValuesAvr,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
CountParameterListsAvr,545,71,36,19,-1.1191558441558445,21.11111111111111,34.54545454545455,0.18529252460164394
FunctionalScoreCountAvr,490,126,25,30,-1.990584415584416,19.230769230769234,54.54545454545454,0.22138305166352196
CountVariablesAvr,7,609,2,53,-11.100974025974027,8.006042296072508,96.36363636363636,-0.05961581150615521
CountVariableDefinitionsAvr,611,5,53,2,-0.14870129870129878,28.57142857142857,3.6363636363636362,0.0762618220528964
CountInnerVariableAssignmentAvr,66,550,7,48,-10.031493506493508,8.02675585284281,87.27272727272727,-0.01773375285955029
CountOuterVariableUsageAvr,3,613,0,55,-11.140584415584415,8.233532934131736,100.0,0.020024578567154165
CountOuterVariableAssignmentAvr,2,614,0,55,-11.160389610389611,8.221225710014949,100.0,0.01633777563387449
CountSideEffectsAvr,470,146,46,9,-2.802597402597403,5.806451612903226,16.363636363636363,-0.04775718541348753
CountSideEffectCallsAvr,529,87,47,8,-1.6538961038961042,8.421052631578947,14.545454545454545,0.0033211714222102316
CountSideEffectFunctionsAvr,605,11,53,2,-0.2675324675324675,15.384615384615385,3.6363636363636362,0.0368308054949648
ImperativeScoreCountAvr,353,263,37,18,-4.941558441558442,6.405693950177936,32.72727272727273,-0.05542094111280923
ParadigmScoreCountAvr,366,250,17,38,-4.2879870129870135,13.194444444444445,69.0909090909091,0.15798646050903667
FractionRecursiveCallsAvr,46,570,3,52,-10.348376623376623,8.360128617363344,94.54545454545455,0.021223619036487458
FractionNestedMethodsAvr,572,44,47,8,-0.8022727272727275,15.384615384615385,14.545454545454545,0.07594668726062885
