commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,ParadigmScoreFraction
HEAD,0,package internal - trait JournalInteractions - method setup,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait JournalInteractions - method internalPersist,1.0,0.0,20.0,20.0,0.0,0.0,7.0,7.0,0.0,0.0,-1.0
HEAD,0,package internal - trait JournalInteractions - method onWriteInitiated,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,0,package internal - trait JournalInteractions - method internalPersistAll,3.0,7.0,26.0,26.0,0.0,0.0,9.0,9.0,6.0,2.0,0.346938775510204
HEAD,0,package internal - trait JournalInteractions - method onWritesInitiated,1.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0
HEAD,1,package internal - trait JournalInteractions - method replayEvents,1.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,-1.0
HEAD,0,package internal - trait JournalInteractions - method requestRecoveryPermit,1.0,0.0,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
HEAD,0,package internal - trait JournalInteractions - method returnPermitOnStop,1.0,0.0,9.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0
HEAD,0,package internal - trait JournalInteractions - method tryReturnRecoveryPermit,2.0,0.0,7.0,7.0,1.0,0.125,3.0,3.0,0.0,0.0,-1.0
HEAD,1,package internal - trait JournalInteractions - method internalDeleteEvents,3.0,0.0,12.0,12.0,0.0,0.0,13.0,12.0,0.0,0.0,-1.0
HEAD,0,package internal - trait SnapshotInteractions - method setup,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package internal - trait SnapshotInteractions - method loadSnapshot,1.0,0.0,3.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,-1.0
HEAD,2,package internal - trait SnapshotInteractions - method internalSaveSnapshot,2.0,0.0,11.0,10.0,0.0,0.0,7.0,7.0,0.0,0.0,-1.0
HEAD,2,package internal - trait SnapshotInteractions - method internalDeleteSnapshots,2.0,0.0,8.0,8.0,0.0,0.0,6.0,6.0,0.0,0.0,-1.0
HEAD,0,package pf - object CaseStatement - method empty,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
HEAD,0,package pf - class CaseStatement - method isDefinedAt,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package pf - class CaseStatement - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package pf - class UnitCaseStatement - method isDefinedAt,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
HEAD,0,package pf - class UnitCaseStatement - method apply,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,-1.0
