commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package http4s - package bench - class NioCharsetBench - method javaCached,3.0,8.0,5.0,5.0,0.0,0.0,5.0,5.0,3.0,1.0,1.0,1.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method scalaCached,3.0,8.0,5.0,5.0,0.0,0.0,6.0,6.0,6.0,1.0,1.0,1.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method forNameValid,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method javaCachedValid,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method scalaCachedValid,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method forNameInvalid,1.0,0.0,2.0,2.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method javaCachedInvalid,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package bench - class NioCharsetBench - method scalaCachedInvalid,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Octet,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Char,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Alpha,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method UpAlpha,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method LoAlpha,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Digit,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method AlphaNum,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method CTL,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method CRLF,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method LWS,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Text,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Hex,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Separator,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Token,1.0,0.0,1.0,1.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method Comment,1.0,0.0,1.0,1.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method DROP,1.0,0.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333
HEAD,0,package parser - trait Rfc2616BasicRules - method CText,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method QuotedString,1.0,0.0,6.0,6.0,0.0,0.0,7.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method QDText,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method QuotedPair,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method OptWS,1.0,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method ListSep,1.0,0.0,1.0,1.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - trait Rfc2616BasicRules - method LASTCHAR,1.0,0.0,1.0,1.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - object Rfc2616BasicRules - method token,1.0,0.0,6.0,6.0,0.0,0.0,6.0,3.0,0.0,0.0,1.0,1.0
HEAD,0,package parser - object Rfc2616BasicRules - method token - <$anon: org.http4s.parser.Rfc2616BasicRules> - method input,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package parser - object Rfc2616BasicRules - method isToken,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package server - object Router - method apply,1.0,0.0,2.0,2.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package http4s - package server - object Router - method define,4.0,11.0,16.0,14.0,0.0,0.0,16.0,8.0,10.0,3.0,1.0,1.0
HEAD,0,package http4s - package server - object Router - method translate,3.0,4.0,9.0,9.0,0.0,0.0,5.0,4.0,6.0,1.0,1.0,1.0
HEAD,0,package syntax - trait AsyncSyntax - method asyncSyntax,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package syntax - class AsyncOps - method fromFuture,3.0,3.0,8.0,8.0,0.0,0.0,8.0,2.0,8.0,2.0,1.0,1.0
HEAD,0,package syntax - class AsyncOps - method fromFuture,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package headers - object Link - method parse,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package headers - class Link - method key,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
