commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,1,package http4s - object StaticFile,49.0,1.0,50.0,0.0,0.0,162.0,161.0,1.0,0.006172839506172839,0.0,45.0,0.0,1.8461538461538463,1.0,11.538461538461538,4.846153846153846,2.0,0.5384615384615384,1.0,1.0
HEAD,0,package http4s - object StaticFile - method notModified - <$anon: <error>>,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - object StaticFile,49.0,1.0,50.0,0.0,0.0,162.0,161.0,1.0,0.006172839506172839,0.0,45.0,0.0,1.8461538461538463,1.0,11.538461538461538,4.846153846153846,2.0,0.5384615384615384,1.0,1.0
HEAD,0,package http4s - object StaticFile - method notModified - <$anon: <error>>,1.0,0.0,1.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - class ContentCoding,12.0,11.0,23.0,2.0,5.0,31.0,29.0,0.0,0.0,0.0,18.0,12.0,1.3333333333333333,0.6666666666666666,2.0,1.5555555555555556,0.5555555555555556,0.1111111111111111,0.2222222222222222,0.0
HEAD,1,package http4s - object ContentCoding,25.0,11.0,34.0,0.0,0.0,57.0,50.0,5.0,0.09090909090909091,0.0,19.0,0.0,1.0,0.0,1.3333333333333333,1.0,0.0,0.0,0.6666666666666666,0.6666666666666666
HEAD,0,package http4s - object ContentCoding - method parse - <$anon: org.http4s.parser.Http4sParser[org.http4s.ContentCoding] with org.http4s.ContentCoding.ContentCodingParser>,2.0,0.0,2.0,4.0,1.0,3.0,3.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object ContentCoding - trait ContentCodingParser,2.0,6.0,8.0,3.0,2.0,15.0,13.0,0.0,0.0,2.0,2.0,3.0,1.5,0.0,4.5,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - object ContentCoding - <$anon: org.http4s.HttpCodec[org.http4s.ContentCoding]>,8.0,0.0,8.0,2.0,2.0,6.0,6.0,0.0,0.0,0.0,6.0,2.0,1.0,0.0,2.5,2.0,0.0,0.0,0.0,0.0
HEAD,1,package http4s - package laws - package discipline - trait ArbitraryInstances,114.0,2.0,116.0,0.0,22.0,710.0,678.0,31.0,0.04372355430183357,2.0,51.0,27.0,1.2173913043478262,0.43478260869565216,4.304347826086956,1.7826086956521738,0.7391304347826086,0.17391304347826086,0.6086956521739131,0.5603864734299517
HEAD,0,package http4s - package laws - package discipline - trait ArbitraryInstances - class ParseResultSyntax,2.0,1.0,3.0,0.0,1.0,3.0,4.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package laws - package discipline - trait ArbitraryInstances - method http4sTestingSemigroupForGen - <$anon: <error>>,0.0,0.0,0.0,1.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package laws - package discipline - trait ArbitraryInstances - method http4sTestingArbitraryForEntityDecoder - <$anon: org.http4s.EntityDecoder[F A]>,4.0,0.0,4.0,1.0,2.0,4.0,4.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0
HEAD,0,package http4s - package laws - package discipline - object ArbitraryInstances,2.0,2.0,3.0,1.0,0.0,1.0,1.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
