commit,faults,path,CyclomaticComplexity,DepthOfNesting,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,0,package types - object ConverterProvider - method fromAvroImpl,1.0,0.0,8.0,8.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.3333333333333333
HEAD,0,package types - object ConverterProvider - method toAvroImpl,1.0,0.0,8.0,8.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.3333333333333333
HEAD,0,package types - object ConverterProvider - method fromTableRowImpl,1.0,0.0,8.0,8.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.3333333333333333
HEAD,0,package types - object ConverterProvider - method toTableRowImpl,1.0,0.0,8.0,8.0,0.0,0.0,6.0,4.0,0.0,0.0,1.0,0.3333333333333333
HEAD,1,package types - object ConverterProvider - method fromAvroInternal,22.0,12.0,81.0,63.0,6.0,0.08695652173913043,48.0,15.0,36.0,17.0,1.0,1.0
HEAD,1,package types - object ConverterProvider - method fromAvroInternal - method cast,18.0,11.0,40.0,36.0,0.0,0.0,32.0,8.0,33.0,16.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromAvroInternal - method option,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromAvroInternal - method list,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromAvroInternal - method field,3.0,0.0,12.0,11.0,0.0,0.0,8.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromAvroInternal - method constructor,3.0,12.0,8.0,7.0,0.0,0.0,7.0,5.0,3.0,1.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal,23.0,12.0,79.0,61.0,8.0,0.11594202898550725,51.0,16.0,42.0,19.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal - method cast,18.0,10.0,35.0,30.0,2.0,0.0625,30.0,7.0,33.0,16.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal - method option,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal - method list,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal - method field,3.0,0.0,12.0,11.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toAvroInternal - method constructor,4.0,12.0,13.0,12.0,0.0,0.0,9.0,6.0,9.0,3.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal,22.0,12.0,91.0,66.0,8.0,0.10810810810810811,50.0,16.0,36.0,17.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method cast,18.0,11.0,42.0,37.0,2.0,0.05128205128205128,32.0,8.0,33.0,16.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method option,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method list,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method field,3.0,0.0,20.0,13.0,0.0,0.0,10.0,7.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method field - method nonNullTree,1.0,0.0,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method fromTableRowInternal - method constructor,3.0,12.0,8.0,7.0,0.0,0.0,7.0,5.0,3.0,1.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal,23.0,12.0,82.0,64.0,8.0,0.1111111111111111,51.0,16.0,42.0,19.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal - method cast,18.0,10.0,38.0,33.0,2.0,0.05714285714285714,30.0,7.0,33.0,16.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal - method option,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal - method list,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal - method field,3.0,0.0,12.0,11.0,0.0,0.0,11.0,7.0,0.0,0.0,1.0,1.0
HEAD,0,package types - object ConverterProvider - method toTableRowInternal - method constructor,4.0,12.0,13.0,12.0,0.0,0.0,9.0,6.0,9.0,3.0,1.0,1.0
HEAD,0,package types - object ConverterUtil - method notNull,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package transforms - trait ScalaFutureHandlers - <$anon: scala.concurrent.ExecutionContext> - method execute,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-1.0
HEAD,0,package transforms - trait ScalaFutureHandlers - <$anon: scala.concurrent.ExecutionContext> - method reportFailure,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.42857142857142855
HEAD,0,package transforms - trait ScalaFutureHandlers - method waitForFutures,1.0,0.0,4.0,4.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,-0.7777777777777778
HEAD,1,package transforms - trait ScalaFutureHandlers - method addCallback,1.0,0.0,6.0,6.0,0.0,0.0,4.0,2.0,0.0,0.0,1.0,1.0
HEAD,0,package extra - object SortMergeBucketExample - method user,1.0,0.0,6.0,6.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketWriteExample - method main,2.0,5.0,40.0,38.0,2.0,0.05,47.0,10.0,6.0,2.0,1.0,-0.5833333333333334
HEAD,0,package extra - object SortMergeBucketJoinExample - class UserAccountData - method toString,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketJoinExample - method main,3.0,6.0,22.0,20.0,3.0,0.13043478260869565,22.0,8.0,16.0,5.0,1.0,-0.3114754098360656
HEAD,1,package extra - object SortMergeBucketTransformExample - method main,3.0,16.0,34.0,32.0,2.0,0.058823529411764705,34.0,7.0,20.0,6.0,1.0,-0.6
HEAD,0,package repl - class ScioILoop - method newScioCmdImpl,2.0,0.0,12.0,12.0,0.0,0.0,11.0,10.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioILoop - method newLocalScioCmdImpl,2.0,0.0,9.0,8.0,1.0,0.1111111111111111,4.0,4.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioILoop - method scioOptsCmdImpl,3.0,0.0,19.0,16.0,2.0,0.1111111111111111,15.0,13.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioILoop - method commands,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0
HEAD,0,package repl - class ScioILoop - method optsFromArgs,1.0,0.0,8.0,7.0,0.0,0.0,7.0,6.0,0.0,0.0,1.0,1.0
HEAD,0,package repl - class ScioILoop - method welcome,1.0,0.0,22.0,15.0,0.0,0.0,7.0,4.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioILoop - method addImports,1.0,0.0,9.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioILoop - method createBigQueryClient,3.0,0.0,21.0,21.0,0.0,0.0,15.0,8.0,0.0,0.0,1.0,-0.33333333333333337
HEAD,0,package repl - class ScioILoop - method createBigQueryClient - method create,1.0,0.0,5.0,5.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,0.11111111111111108
HEAD,0,package repl - class ScioILoop - method loadIoCommands,1.0,0.0,5.0,3.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioILoop - method initCommand,1.0,0.0,8.0,8.0,0.0,0.0,5.0,5.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - object ScioReplClassLoader - method classLoaderURLs,4.0,9.0,5.0,5.0,0.0,0.0,9.0,6.0,6.0,1.0,1.0,1.0
HEAD,0,package repl - object ScioReplClassLoader - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method loadClass,4.0,8.0,23.0,19.0,3.0,0.13636363636363635,9.0,6.0,4.0,1.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method genNextReplCodeJarDir,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method getNextReplCodeJarPath,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createReplCodeJar,1.0,0.0,7.0,6.0,1.0,0.14285714285714285,6.0,6.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createJar,1.0,0.0,6.0,6.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method addVirtualDirectoryToJar,3.0,0.0,18.0,16.0,2.0,0.1111111111111111,13.0,8.0,0.0,0.0,1.0,-0.3924050632911392
HEAD,0,package repl - object ScioReplClassLoader - method classLoaderURLs,4.0,9.0,5.0,5.0,0.0,0.0,9.0,6.0,6.0,1.0,1.0,1.0
HEAD,0,package repl - object ScioReplClassLoader - method apply,1.0,0.0,2.0,2.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method loadClass,4.0,8.0,23.0,19.0,3.0,0.13636363636363635,10.0,8.0,4.0,1.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method genNextReplCodeJarDir,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method getNextReplCodeJarPath,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,1,package repl - class ScioReplClassLoader - method createReplCodeJar,1.0,0.0,11.0,10.0,1.0,0.09090909090909091,7.0,7.0,0.0,0.0,1.0,-1.0
HEAD,1,package repl - class ScioReplClassLoader - method createJar,1.0,0.0,9.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0
HEAD,1,package repl - class ScioReplClassLoader - method addVirtualDirectoryToJar,3.0,0.0,21.0,19.0,2.0,0.09523809523809523,13.0,8.0,0.0,0.0,1.0,-0.3978494623655913
HEAD,0,package repl - class ScioReplClassLoader - method loadClass,4.0,8.0,23.0,19.0,3.0,0.13636363636363635,10.0,8.0,4.0,1.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method genNextReplCodeJarDir,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader - method getNextReplCodeJarPath,1.0,0.0,2.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createReplCodeJar,1.0,0.0,11.0,10.0,1.0,0.09090909090909091,7.0,7.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method createJar,1.0,0.0,9.0,8.0,0.0,0.0,4.0,4.0,0.0,0.0,1.0,-1.0
HEAD,0,package repl - class ScioReplClassLoader - method addVirtualDirectoryToJar,3.0,0.0,21.0,19.0,2.0,0.09523809523809523,13.0,8.0,0.0,0.0,1.0,-0.3978494623655913
HEAD,1,package repl - object BaseScioShell - method classLoaderURLs,4.0,9.0,5.0,5.0,0.0,0.0,9.0,6.0,6.0,1.0,1.0,1.0
HEAD,1,package repl - trait BaseScioShell - method process,1.0,0.0,43.0,30.0,13.0,0.3023255813953488,45.0,32.0,0.0,0.0,1.0,-0.18032786885245905
HEAD,0,package repl - trait BaseScioShell - method main,2.0,0.0,8.0,8.0,0.0,0.0,4.0,3.0,0.0,0.0,1.0,-1.0
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedJoin,2.0,0.0,26.0,23.0,2.0,0.08,14.0,11.0,0.0,0.0,1.0,0.4838709677419355
HEAD,1,package values - class PairSkewedSCollectionFunctions - method skewedJoin,2.0,5.0,17.0,15.0,2.0,0.11764705882352941,14.0,9.0,6.0,2.0,1.0,1.0
HEAD,0,package values - class PairSkewedSCollectionFunctions - method skewedLeftJoin,1.0,0.0,14.0,13.0,0.0,0.0,2.0,1.0,0.0,0.0,1.0,1.0
