commit,faults,path,FanOut,FanIn,CouplingBetweenObjects,DepthOfInheritance,LackOfCohesionInMethods,LinesOfCode,SourceLinesOfCode,CommentLinesOfCode,CommentDensity,NumberOfChildren,ResponseForClass,WeightedMethodCount,CyclomaticComplexity,DepthOfNesting,OutDegree,OutDegreeDistinct,PatternSize,NumberOfPatternVariables,HasPointsFraction,ParadigmScoreFraction
HEAD,1,package types - object ConverterProvider,42.0,0.0,42.0,0.0,0.0,370.0,289.0,33.0,0.10248447204968944,0.0,53.0,0.0,11.75,6.0,28.0,9.875,19.5,9.0,1.0,0.6666666666666666
HEAD,0,package types - object ConverterUtil,4.0,0.0,4.0,0.0,0.0,4.0,4.0,0.0,0.0,0.0,2.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
HEAD,1,package transforms - trait ScalaFutureHandlers,23.0,2.0,25.0,1.0,1.0,18.0,17.0,0.0,0.0,2.0,13.0,2.0,1.0,0.0,4.0,2.5,0.0,0.0,1.0,0.1111111111111111
HEAD,0,package transforms - trait ScalaFutureHandlers - <$anon: scala.concurrent.ExecutionContext>,6.0,0.0,6.0,1.0,2.0,5.0,5.0,0.0,0.0,0.0,4.0,2.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,-0.7142857142857143
HEAD,0,package extra - object SortMergeBucketExample,4.0,3.0,7.0,0.0,0.0,18.0,19.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0
HEAD,0,package extra - object SortMergeBucketWriteExample,18.0,0.0,18.0,0.0,0.0,45.0,44.0,2.0,0.043478260869565216,0.0,11.0,0.0,2.0,5.0,47.0,10.0,6.0,2.0,1.0,-0.5833333333333334
HEAD,0,package extra - object SortMergeBucketJoinExample,24.0,0.0,24.0,0.0,0.0,30.0,29.0,3.0,0.09375,0.0,10.0,0.0,3.0,6.0,22.0,8.0,16.0,5.0,1.0,-0.3114754098360656
HEAD,0,package extra - object SortMergeBucketJoinExample - class UserAccountData,5.0,1.0,6.0,2.0,1.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package extra - object SortMergeBucketTransformExample,14.0,0.0,14.0,0.0,0.0,37.0,35.0,2.0,0.05405405405405406,0.0,7.0,0.0,3.0,16.0,34.0,7.0,20.0,6.0,1.0,-0.6
HEAD,1,package repl - class ScioILoop,39.0,2.0,41.0,3.0,7.0,155.0,117.0,20.0,0.145985401459854,0.0,47.0,16.0,1.6,0.0,6.9,5.5,0.0,0.0,0.9,-0.4333333333333334
HEAD,0,package repl - object ScioReplClassLoader,22.0,3.0,24.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,15.0,0.0,2.5,4.5,5.0,3.5,3.0,0.5,0.5,0.5
HEAD,0,package repl - class ScioReplClassLoader,26.0,3.0,28.0,3.0,3.0,83.0,58.0,24.0,0.2926829268292683,0.0,29.0,11.0,1.8333333333333333,1.3333333333333333,6.0,4.666666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,-0.7320675105485233
HEAD,0,package repl - object ScioReplClassLoader,22.0,3.0,24.0,0.0,0.0,26.0,25.0,0.0,0.0,0.0,15.0,0.0,2.5,4.5,5.0,3.5,3.0,0.5,0.5,0.5
HEAD,1,package repl - class ScioReplClassLoader,27.0,3.0,30.0,3.0,3.0,93.0,67.0,24.0,0.26373626373626374,0.0,29.0,11.0,1.8333333333333333,1.3333333333333333,6.333333333333333,5.166666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,-0.7329749103942652
HEAD,1,package repl - object ScioReplClassLoader,4.0,3.0,7.0,0.0,0.0,3.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package repl - class ScioReplClassLoader,27.0,3.0,30.0,3.0,3.0,93.0,67.0,24.0,0.26373626373626374,0.0,29.0,11.0,1.8333333333333333,1.3333333333333333,6.333333333333333,5.166666666666667,0.6666666666666666,0.16666666666666666,0.8333333333333334,-0.7329749103942652
HEAD,1,package repl - object BaseScioShell,19.0,2.0,21.0,0.0,0.0,26.0,24.0,0.0,0.0,1.0,12.0,0.0,4.0,9.0,9.0,6.0,6.0,1.0,1.0,1.0
HEAD,1,package repl - trait BaseScioShell,44.0,2.0,46.0,1.0,1.0,65.0,41.0,24.0,0.36923076923076925,1.0,37.0,3.0,1.5,0.0,24.5,17.5,0.0,0.0,1.0,-0.5901639344262295
HEAD,1,package repl - object ScioShell,3.0,0.0,3.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package values - class Partitions,3.0,1.0,4.0,2.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package values - class PairSkewedSCollectionFunctions,41.0,1.0,42.0,0.0,3.0,464.0,183.0,266.0,0.5924276169265034,0.0,31.0,19.0,2.111111111111111,2.2222222222222223,14.444444444444445,8.222222222222221,3.3333333333333335,1.1111111111111112,1.0,0.8380771663504112
HEAD,0,package scio - trait RunnerContext,2.0,7.0,9.0,0.0,1.0,3.0,4.0,0.0,0.0,5.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - object NoOpContext,6.0,1.0,7.0,2.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,-1.0
HEAD,0,package scio - object DirectContext,11.0,1.0,12.0,2.0,0.0,10.0,8.0,2.0,0.2,0.0,3.0,0.0,2.0,0.0,4.0,3.0,0.0,0.0,1.0,-1.0
HEAD,2,package scio - object RunnerContext,34.0,7.0,40.0,0.0,0.0,59.0,52.0,7.0,0.11864406779661017,5.0,31.0,0.0,1.25,2.0,8.25,6.75,1.0,0.25,0.75,-0.09285714285714287
HEAD,0,package scio - object ContextAndArgs,69.0,59.0,128.0,0.0,0.0,111.0,108.0,4.0,0.03571428571428571,0.0,38.0,0.0,2.0,2.3333333333333335,6.0,3.6666666666666665,6.666666666666667,1.3333333333333333,0.6666666666666666,0.5964912280701754
HEAD,0,package scio - object ContextAndArgs - trait ArgsParser,4.0,3.0,7.0,0.0,1.0,6.0,7.0,0.0,0.0,2.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - class DefaultParser,16.0,1.0,17.0,2.0,1.0,7.0,7.0,0.0,0.0,0.0,5.0,1.0,1.0,0.0,4.0,3.0,0.0,0.0,0.0,0.0
HEAD,0,package scio - object ContextAndArgs - object TypedParser,2.0,2.0,3.0,0.0,0.0,11.0,12.0,0.0,0.0,0.0,1.0,0.0,3.0,4.0,4.0,2.0,6.0,2.0,1.0,1.0
HEAD,0,package scio - object ContextAndArgs - class TypedParser,36.0,2.0,38.0,1.0,1.0,47.0,44.0,3.0,0.06382978723404255,0.0,19.0,11.0,11.0,10.0,55.0,20.0,70.0,16.0,1.0,0.9310344827586207
HEAD,0,package scio - object ContextAndArgs - class UsageOrHelpException,3.0,3.0,6.0,3.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
