commit,faults,path,ImplicitDefinitions,ImplicitConversions,ImplicitParameters,OverridingPatternVariables,UsageOfNull,UnitVariables,FunctionVariables,NumberOfReturns
HEAD,0,package zio - package internal - package object internal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific - object ZEnv,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - trait PlatformSpecific - object ZEnv - object Services,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console,0.0,6.0,6.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - trait Service,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - object Service,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package zio - package console - package object console - object Console - object Service - <$anon: zio.console.Console.Service>,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
HEAD,0,package zio - class Schedule,0.0,12.0,3.0,2.0,0.0,0.0,60.0,0.0
HEAD,1,package zio - object Schedule,0.0,5.0,0.0,3.0,0.0,0.0,17.0,0.0
HEAD,0,package zio - object Schedule - method apply - <$anon: zio.Schedule[Env In Out]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - method fixed - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - class Driver,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package zio - object Schedule - object StepFunction,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - trait Decision,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
HEAD,0,package zio - object Schedule - object Decision,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Done,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Continue,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
HEAD,0,package zio - class IOForkInterruptBenchmark,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object IOBenchmarks,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
HEAD,0,package zio - object IOBenchmarks - <$anon: zio.BootstrapRuntime>,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object IOBenchmarks - class Thunk,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0
HEAD,0,package zio - object IOBenchmarks - object Thunk,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
