commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,0,package spark - class SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor,2.0,2.0,0.10526315789473684,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runSuperAstParser - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialectRecursor - method runCaseClassWithMultipleSelect - <$anon: io.getquill.idiom.StatementInterpolator.Tokenizer[io.getquill.ast.Ast]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,2,package spark - trait SparkIdiom,6.0,44.0,0.5432098765432098,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method sqlQueryTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - trait SparkIdiom - method valueTokenizer - <$anon: io.getquill.context.spark.SparkIdiom>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,13.0,27.0,0.11440677966101695,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - method operationParser - object operator,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object QuillSparkContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - trait QuillSparkContext,8.0,21.0,0.2727272727272727,0.0,1.0,1.0,1.0
HEAD,0,package getquill - trait QuillSparkContext - class StructElement,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0
HEAD,0,package getquill - trait QuillSparkContext - object CaseAccessors,1.0,1.0,0.09090909090909091,0.0,0.0,0.0,0.0
HEAD,5,package spark - class SparkDialect,6.0,19.0,0.34545454545454546,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package getquill - object QuillSparkContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,5,package getquill - trait QuillSparkContext,7.0,20.0,0.31746031746031744,0.0,1.0,1.0,1.0
HEAD,0,package getquill - trait QuillSparkContext - class StructElement,1.0,1.0,0.16666666666666666,0.0,0.0,0.0,0.0
HEAD,1,package spark - class SparkDialect,6.0,18.0,0.3333333333333333,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package spark - trait Encoders,4.0,9.0,0.34615384615384615,0.0,0.0,0.0,0.0
HEAD,1,package spark - class SparkDialect,6.0,18.0,0.3673469387755102,0.0,0.0,0.0,0.0
HEAD,0,package spark - object SparkDialect,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Encoders,13.0,17.0,0.53125,0.0,0.0,11.0,0.0
HEAD,0,package encoding - trait Encoders - class OrientDBEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders,13.0,31.0,0.6888888888888889,0.0,0.0,0.0,0.0
HEAD,0,package encoding - trait Decoders - class OrientDBDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait CassandraTypes,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait CassandraMappedTypes,14.0,18.0,0.9,0.0,0.0,0.0,0.0
HEAD,1,package cassandra - trait CassandraContext,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Decoders,14.0,27.0,0.627906976744186,0.0,0.0,0.0,0.0
HEAD,0,package encoding - trait Decoders - class CassandraDecoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package encoding - trait Encoders,14.0,18.0,0.5142857142857142,0.0,0.0,0.0,0.0
HEAD,0,package encoding - trait Encoders - class CassandraEncoder,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package getquill - class CassandraAsyncContext,6.0,8.0,0.21052631578947367,0.0,0.0,1.0,0.0
HEAD,1,package dsl - class MetaDslMacro,14.0,39.0,0.23493975903614459,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro - trait Value,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro - class Nested,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package dsl - class MetaDslMacro - class Scalar,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package quotation - trait Parsing,6.0,10.0,0.07042253521126761,0.0,0.0,0.0,0.0
HEAD,0,package quotation - trait Parsing - class Parser,0.0,0.0,0.0,0.0,0.0,0.0,0.0
