commit,faults,path,NumberOfLambdaFunctions,SourceLinesOfLambda,LambdaScore,LambdaFunctionsUsingOuterVariables,LambdaFunctionsUsingInnerVariables,LambdaFunctionsWithSideEffects,LambdaFunctionsWithAssignment
HEAD,0,package zio - class Schedule,91.0,194.0,0.5344352617079889,0.0,0.0,0.0,0.0
HEAD,1,package zio - object Schedule,27.0,78.0,0.4148936170212766,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - method apply - <$anon: zio.Schedule[Env In Out]>,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - method fixed - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - class Driver,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object StepFunction,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - trait Decision,5.0,3.0,0.13636363636363635,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Done,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object Schedule - object Decision - class Continue,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - class Reservation,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,1,package zio - class ZManaged,181.0,237.0,0.5021186440677966,0.0,0.0,3.0,0.0
HEAD,1,package zio - object ZManaged,165.0,219.0,0.4116541353383459,0.0,0.0,3.0,0.0
HEAD,0,package zio - object ZManaged - class AccessPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class AccessMPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class AccessManagedPartiallyApplied,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object Finalizer,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class IfM,1.0,1.0,0.14285714285714285,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class ProvideSomeLayer,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class UnlessM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class UpdateService,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - class WhenM,1.0,1.0,0.25,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - trait ReleaseMap,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap,18.0,74.0,0.8314606741573034,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class State,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Exited,0.0,0.0,0.0,0.0,0.0,0.0,0.0
HEAD,0,package zio - object ZManaged - object ReleaseMap - method make - class Running,0.0,0.0,0.0,0.0,0.0,0.0,0.0
